date,Adj Close,Close,High,Low,Open,Volume
8/11/2022,137.2982635,139.5,141.4299927,137.4900055,140.4100037,89908500
9/11/2022,132.7413483,134.8699951,138.5500031,134.5899963,138.5,74917800
10/11/2022,144.5519409,146.8699951,146.8699951,139.5,141.2400055,118854000
11/11/2022,147.3372955,149.6999969,150.0099945,144.3699951,145.8200073,93979700
14/11/2022,145.9396667,148.2799988,150.2799988,147.4299927,148.9700012,73374100
15/11/2022,147.6719208,150.0399933,153.5899963,148.5599976,152.2200012,89868300
16/11/2022,146.4416809,148.7899933,149.8699951,147.2899933,149.1300049,64218300
17/11/2022,148.3411865,150.7200012,151.4799957,146.1499939,146.4299927,80389400
18/11/2022,148.9021759,151.2899933,152.6999969,149.9700012,152.3099976,74829600
21/11/2022,145.6739655,148.0099945,150.3699951,147.7200012,150.1600037,58724100
22/11/2022,147.8096924,150.1799927,150.4199982,146.9299927,148.1300049,51804100
23/11/2022,148.6856689,151.0700073,151.8300018,149.3399963,149.4499969,58301400
25/11/2022,145.7723999,148.1100006,148.8800049,147.1199951,148.3099976,35195900
28/11/2022,141.9437714,144.2200012,146.6399994,143.3800049,145.1399994,69246000
29/11/2022,138.9419098,141.1699982,144.8099976,140.3500061,144.2899933,83763800
30/11/2022,145.6936188,148.0299988,148.7200012,140.5500031,141.3999939,111380900
1/12/2022,145.9692383,148.3099976,149.1300049,146.6100006,148.2100067,71250400
2/12/2022,145.4771271,147.8099976,148,145.6499939,145.9600067,65447400
5/12/2022,144.3157654,146.6300049,150.9199982,145.7700043,147.7700043,68826400
6/12/2022,140.6544342,142.9100037,147.3000031,141.9199982,147.0700073,64727200
7/12/2022,138.7155609,140.9400024,143.3699951,140,142.1900024,69721100
8/12/2022,140.3985596,142.6499939,143.5200043,141.1000061,142.3600006,62128300
9/12/2022,139.9163055,142.1600037,145.5700073,140.8999939,142.3399963,76097000
12/12/2022,142.2095184,144.4900055,144.5,141.0599976,142.6999969,70462700
13/12/2022,143.1740265,145.4700012,149.9700012,144.2400055,149.5,93886200
14/12/2022,140.9497223,143.2100067,146.6600037,141.1600037,145.3500061,82291200
15/12/2022,134.3456268,136.5,141.8000031,136.0299988,141.1100006,98931900
16/12/2022,132.3870239,134.5099945,137.6499939,133.7299957,136.6900024,160156900
19/12/2022,130.280777,132.3699951,135.1999969,131.3200073,135.1100006,79592600
